,Minas Gerais - Consumo de Cimento (t)
2003-1,247.134
2003-2,305.708
2003-3,284.168
2003-4,286.594
2003-5,312.455
2003-6,299.651
2003-7,340.885
2003-8,322.275
2003-9,345.219
2003-10,352.678
2003-11,295.72
2003-12,270.978
2004-1,249.68
2004-2,219.561
2004-3,304.641
2004-4,262.564
2004-5,299.209
2004-6,303.866
2004-7,320.442
2004-8,318.685
2004-9,315.841
2004-10,300.355
2004-11,297.717
2004-12,260.237
2005-1,268.591
2005-2,246.372
2005-3,292.439
2005-4,310.034
2005-5,322.741
2005-6,360.513
2005-7,359.804
2005-8,406.893
2005-9,397.527
2005-10,406.354
2005-11,375.773
2005-12,357.53
2006-1,425.4
2006-2,375.813
2006-3,441.698
2006-4,389.598
2006-5,465.695
2006-6,418.447
2006-7,440.917
2006-8,479.363
2006-9,437.792
2006-10,445.573
2006-11,401.511
2006-12,354.139
2007-1,389.55
2007-2,355.526
2007-3,460.107
2007-4,424.702
2007-5,466.812
2007-6,471.673
2007-7,496.171
2007-8,531.411
2007-9,483.813
2007-10,512.562
2007-11,457.754
2007-12,388.355
2008-1,458.485
2008-2,402.782
2008-3,429.874
2008-4,484.463
2008-5,498.487
2008-6,506.647
2008-7,559.912
2008-8,539.832
2008-9,576.883
2008-10,546.723
2008-11,476.676
2008-12,421.59
2009-1,436.293
2009-2,396.914
2009-3,483.839
2009-4,478.991
2009-5,515.822
2009-6,513.686
2009-7,576.387
2009-8,557.411
2009-9,571.514
2009-10,542.293
2009-11,522.365
2009-12,436.839
2010-1,503.68
2010-2,471.305
2010-3,578.572
2010-4,533.165
2010-5,560.354
2010-6,546.486
2010-7,601.745
2010-8,647.7
2010-9,628.612
2010-10,596.227
2010-11,544.711
2010-12,538.872
2011-1,516.59
2011-2,558.484
2011-3,556.002
2011-4,570.738
2011-5,676.878
2011-6,626.571
2011-7,638.156
2011-8,682.66
2011-9,647.68
2011-10,592.732
2011-11,577.717
2011-12,490.78
2012-1,523.094
2012-2,538.5
2012-3,629.774
2012-4,565.656
2012-5,623.271
2012-6,586.932
2012-7,634.043
2012-8,681.586
2012-9,614.072
2012-10,650.068
2012-11,569.608
2012-12,527.422
2013-1,560.056
2013-2,513.715
2013-3,553.798
2013-4,623.269
2013-5,623.44
2013-6,580.818
2013-7,678.442
2013-8,680.488
2013-9,652.39
2013-10,682.758
2013-11,590.151
2013-12,486.646
2014-1,626.094
2014-2,571.863
2014-3,566.6838857142859
2014-4,561.5047714285716
2014-5,556.3256571428573
2014-6,551.146542857143
2014-7,545.9674285714287
2014-8,540.7883142857145
2014-9,535.6092000000001
2014-10,530.4300857142858
2014-11,525.2509714285716
2014-12,520.0718571428573
2015-1,514.892742857143
2015-2,509.71362857142867
2015-3,504.5345142857144
2015-4,499.35540000000015
2015-5,494.1762857142859
2015-6,488.9971714285716
2015-7,483.81805714285724
2015-8,478.638942857143
2015-9,473.4598285714287
2015-10,468.28071428571445
2015-11,463.1016000000002
2015-12,457.9224857142858
2016-1,452.74337142857155
2016-2,447.5642571428573
2016-3,442.385142857143
2016-4,437.20602857142865
2016-5,432.0269142857144
2016-6,426.8478000000001
2016-7,421.66868571428586
2016-8,416.4895714285716
2016-9,411.3104571428572
2016-10,406.13134285714295
2016-11,400.9522285714287
2016-12,395.7731142857144
2017-1,390.594
2017-2,338.767
2017-3,419.962
2017-4,387.8
2017-5,391.122
2017-6,409.739
2017-7,413.46
2017-8,497.019
2017-9,476.478
2017-10,421.395
2017-11,413.641
2017-12,338.033
2018-1,431.028
2018-2,305.105
2018-3,402.406
2018-4,419.419
2018-5,336.054
2018-6,568.395
2018-7,541.488
2018-8,537.851
2018-9,526.265
2018-10,559.293
2018-11,466.646
2018-12,416.049
2019-1,501.489
2019-2,460.699
2019-3,445.583
2019-4,509.271
2019-5,532.602
2019-6,500.905
2019-7,588.495
2019-8,589.349
2019-9,543.982
2019-10,614.074
2019-11,557.419
2019-12,412.582
2020-1,468.6
2020-2,416.514
2020-3,463.594
2020-4,513.082
2020-5,587.93
2020-6,665.894
2020-7,735.476
2020-8,715.882
2020-9,686.64
2020-10,645.975
2020-11,552.352
2020-12,502.591
2021-1,581.608
2021-2,480.081
2021-3,639.374
2021-4,590.176
2021-5,648.069
2021-6,604.968
2021-7,638.795
2021-8,652.804
2021-9,622.984
2021-10,536.252
2021-11,549.13
2021-12,431.434
2022-1,418.984
2022-2,443.346
2022-3,600.511
2022-4,564.161
2022-5,606.339
2022-6,554.057
2022-7,573.478
2022-8,633.858
2022-9,612.428
2022-10,579.831
2022-11,559.95
2022-12,559.95
