,Tocantins - Consumo de Cimento (t)
2003-1,17.555
2003-2,14.976
2003-3,13.334
2003-4,15.173
2003-5,18.728
2003-6,18.887
2003-7,20.089
2003-8,22.678
2003-9,24.584
2003-10,26.564
2003-11,22.246
2003-12,24.679
2004-1,19.115
2004-2,22.973
2004-3,30.126
2004-4,29.497
2004-5,29.528
2004-6,40.329
2004-7,40.416
2004-8,36.605
2004-9,43.797
2004-10,37.795
2004-11,35.968
2004-12,31.277
2005-1,29.644
2005-2,25.375
2005-3,25.608
2005-4,30.043
2005-5,28.702
2005-6,36.483
2005-7,33.9
2005-8,49.981
2005-9,46.402
2005-10,42.995
2005-11,42.388
2005-12,39.682
2006-1,37.092
2006-2,29.357
2006-3,29.126
2006-4,18.553
2006-5,22.552
2006-6,18.245
2006-7,27.738
2006-8,28.597
2006-9,26.18
2006-10,27.381
2006-11,25.572
2006-12,22.114
2007-1,27.135
2007-2,22.195
2007-3,25.91
2007-4,31.577
2007-5,38.954
2007-6,41.066
2007-7,45.45
2007-8,47.715
2007-9,35.123
2007-10,44.051
2007-11,39.677
2007-12,27.884
2008-1,33.036
2008-2,29.256
2008-3,30.511
2008-4,37.629
2008-5,36.796
2008-6,36.515
2008-7,43.649
2008-8,45.329
2008-9,39.84
2008-10,45.95
2008-11,37.101
2008-12,35.133
2009-1,36.028
2009-2,31.811
2009-3,43.789
2009-4,33.436
2009-5,40.73
2009-6,47.101
2009-7,48.825
2009-8,44.55
2009-9,40.56
2009-10,36.123
2009-11,33.062
2009-12,31.573
2010-1,30.47
2010-2,31.553
2010-3,34.995
2010-4,41.649
2010-5,46.038
2010-6,43.433
2010-7,50.079
2010-8,53.189
2010-9,43.757
2010-10,37.019
2010-11,39.748
2010-12,35.278
2011-1,32.445
2011-2,30.1
2011-3,34.206
2011-4,30.737
2011-5,40.127
2011-6,41.291
2011-7,39.823
2011-8,45.73
2011-9,42.797
2011-10,49.488
2011-11,36.702
2011-12,34.885
2012-1,38.254
2012-2,33.022
2012-3,41.822
2012-4,37.661
2012-5,45.791
2012-6,45.696
2012-7,45.949
2012-8,50.708
2012-9,44.096
2012-10,44.344
2012-11,42.572
2012-12,38.768
2013-1,39.734
2013-2,34.634
2013-3,36.665
2013-4,42.681
2013-5,45.626
2013-6,44.16
2013-7,48.037
2013-8,48.247
2013-9,50.264
2013-10,53.898
2013-11,46.504
2013-12,34.784
2014-1,39.693
2014-2,34.005
2014-3,34.24171428571429
2014-4,34.47842857142857
2014-5,34.71514285714286
2014-6,34.95185714285714
2014-7,35.18857142857143
2014-8,35.425285714285714
2014-9,35.662
2014-10,35.898714285714284
2014-11,36.13542857142857
2014-12,36.372142857142855
2015-1,36.60885714285714
2015-2,36.845571428571425
2015-3,37.08228571428572
2015-4,37.319
2015-5,37.55571428571429
2015-6,37.79242857142857
2015-7,38.02914285714286
2015-8,38.26585714285714
2015-9,38.50257142857143
2015-10,38.739285714285714
2015-11,38.976
2015-12,39.212714285714284
2016-1,39.44942857142857
2016-2,39.686142857142855
2016-3,39.92285714285714
2016-4,40.159571428571425
2016-5,40.39628571428571
2016-6,40.632999999999996
2016-7,40.86971428571428
2016-8,41.10642857142857
2016-9,41.34314285714286
2016-10,41.57985714285714
2016-11,41.81657142857143
2016-12,42.053285714285714
2017-1,42.29
2017-2,33.787
2017-3,41.594
2017-4,36.019
2017-5,45.143
2017-6,41.704
2017-7,45.71
2017-8,45.564
2017-9,43.754
2017-10,48.554
2017-11,40.896
2017-12,35.255
2018-1,34.018
2018-2,22.422
2018-3,29.555
2018-4,28.919
2018-5,25.589
2018-6,40.237
2018-7,37.012
2018-8,38.793
2018-9,38.281
2018-10,39.711
2018-11,33.695
2018-12,28.206
2019-1,31.615
2019-2,30.275
2019-3,29.568
2019-4,26.94
2019-5,35.91
2019-6,33.954
2019-7,37.983
2019-8,40.046
2019-9,32.647
2019-10,39.065
2019-11,36.18
2019-12,28.749
2020-1,33.038
2020-2,27.615
2020-3,22.159
2020-4,25.44
2020-5,39.882
2020-6,47.404
2020-7,53.877
2020-8,59.316
2020-9,51.459
2020-10,54.833
2020-11,44.566
2020-12,40.537
2021-1,41.574
2021-2,37.004
2021-3,38.102
2021-4,41.248
2021-5,47.265
2021-6,49.398
2021-7,55.541
2021-8,52.757
2021-9,50.016
2021-10,48.899
2021-11,42.345
2021-12,37.881
2022-1,34.245
2022-2,36.534
2022-3,41.296
2022-4,44.792
2022-5,46.477
2022-6,54.788
2022-7,47.979
2022-8,54.154
2022-9,55.664
2022-10,52.32
2022-11,43.036
2022-12,43.036
